window,model,mae,rmse,r2,train_time,inference_time_ms,parameters
10s,arima,3665742.9019439593,5652209.295030246,0.06492182855144313,0.14558076858520508,,
10s,lstm,0.4896886855651296,1.7285238374557277,0.9147819588483654,1.7261040210723877,0.2785468101501465,217794.0
30s,arima,10506332.154872518,13061619.477115508,-0.2058377947922626,0.2239999771118164,,
30s,lstm,1.3160166696340445,3.3005702865382336,0.5301780051744884,0.7137553691864014,0.6495952606201172,217794.0
1min,arima,10095043.612292953,18839325.375152174,-0.3987481526039992,0.07024669647216797,,
1min,lstm,0.5363206931007478,1.6829460260716118,-0.01878796886027234,0.42589402198791504,0.28989553451538086,217794.0
