datetime,reduced_feature_0,reduced_feature_1
2025-09-02 19:28:00,10.479970471603153,1.4053515283076343
2025-09-02 19:29:00,2.5287052901237943,2.4565959286950494
2025-09-02 19:30:00,0.026540884197080714,0.044059016054763527
2025-09-02 19:31:00,-2.228302599657546,-1.5913640334001418
2025-09-02 19:32:00,-3.7043736249004033,-2.24823251222829
2025-09-02 19:33:00,-5.151152349447621,-2.373876325131645
2025-09-02 19:34:00,6.173715521030388,-5.4411093438253815
2025-09-02 19:35:00,2.3235602801539743,0.014932950734681873
2025-09-02 19:36:00,0.19792780366728152,-0.4416298615290393
2025-09-02 19:37:00,-2.100883788436423,-1.6082825343770975
2025-09-02 19:38:00,-3.3514615450164045,-2.080040473134933
2025-09-02 19:39:00,-4.540181873480801,-2.3879549040294754
2025-09-02 19:40:00,-6.592484725474049,-2.6435392910482163
2025-09-02 19:41:00,9.59044971947323,-5.633176400246313
2025-09-02 19:42:00,1.0811704753267526,0.5502446855152713
2025-09-02 19:43:00,-0.7528553076432366,-1.2744450635646587
2025-09-02 19:44:00,-2.763507788114533,-2.4037382882892175
2025-09-02 19:45:00,-3.819203076291127,-2.187848802876623
2025-09-02 19:46:00,-5.280345215685778,-2.4618446458302015
2025-09-02 19:47:00,6.641663613939098,-5.551726882859006
2025-09-02 19:48:00,2.9531355553529477,-0.27081369331698973
2025-09-02 19:49:00,-0.02120901311832773,-0.04080630545172335
2025-09-02 19:50:00,-2.1947696662540577,-1.5526937765526743
2025-09-02 19:51:00,-3.3270176073558195,-2.026045659921796
2025-09-02 19:52:00,-4.746590623381328,-2.3232444845955786
2025-09-02 19:53:00,-6.714227088985868,-2.1482358450242383
2025-09-02 19:54:00,9.43364777962968,-5.510447873239122
2025-09-02 19:55:00,0.8384848792787506,0.3139622909997664
2025-09-02 19:56:00,0.7097962093118051,-2.43174061398542
2025-09-02 19:57:00,-3.145833844615215,-1.487295988691816
2025-09-02 19:58:00,-4.029228994390769,-2.055239014498149
2025-09-02 19:59:00,-5.732380615714895,-2.39218468575886
2025-09-02 20:00:00,7.449228076840313,-5.228301561335087
2025-09-02 20:01:00,1.9649199164400644,0.3569285114910237
2025-09-02 20:02:00,2.067107399416722,-2.5737563358548665
2025-09-02 20:03:00,-2.6708243803285154,-1.6345431585548482
2025-09-02 20:04:00,-3.666233643391286,-1.6387862747535569
2025-09-02 20:05:00,-5.114329919654348,-2.490058845733857
2025-09-02 20:06:00,5.485528598944853,-5.322097851484289
2025-09-02 20:07:00,3.3893131849978144,0.006947176973930381
2025-09-02 20:08:00,0.00602139124021663,-0.4272769966713873
2025-09-02 20:09:00,-1.9149112669523716,-1.1994539694494677
2025-09-02 20:10:00,-3.140259011812504,-1.5052025181469864
2025-09-02 20:11:00,-4.815453495247703,-1.792437038474915
2025-09-02 20:12:00,-5.49458624909867,-2.207675427307787
2025-09-02 20:13:00,8.919253873627099,-4.914633388166668
2025-09-02 20:14:00,0.9928432957175779,1.3360406881858125
2025-09-02 20:15:00,-0.6596133286342376,-1.3500433393520521
2025-09-02 20:16:00,-2.7784238869477726,-1.7287125237219079
2025-09-02 20:17:00,-4.102145844806224,-1.285759624004184
2025-09-02 20:18:00,-5.553444343829229,-2.0115892225927983
2025-09-02 20:19:00,6.834102048398217,-5.473477680082789
2025-09-02 20:20:00,2.350323573242234,0.1974705409551038
2025-09-02 20:21:00,0.15373844512632048,-0.037573947519165846
2025-09-02 20:22:00,-2.4635938321916466,-0.9462714423994653
2025-09-02 20:23:00,-3.373771289856785,-1.596084425845045
2025-09-02 20:24:00,-4.866359701446072,-1.375556363102527
2025-09-02 20:25:00,-0.06292590055600855,-4.77248453637786
2025-09-02 20:26:00,6.893432938460449,-2.62622072496067
2025-09-02 20:27:00,0.5395627145547273,0.06164596855118503
2025-09-02 20:28:00,-1.570477425052418,-0.8998522792373095
2025-09-02 20:29:00,-3.098893443101368,-1.7115985883841198
2025-09-02 20:30:00,-4.460103486496303,-1.7236593973411518
2025-09-02 20:31:00,-5.794351184425205,-2.220402530981179
2025-09-02 20:32:00,8.299119242263938,-5.306953121116385
2025-09-02 20:33:00,1.637645356719841,0.4057497558018455
2025-09-02 20:34:00,-0.5537078291774189,-0.7036865622209305
2025-09-02 20:35:00,-3.0184896022333447,-2.0986193624636678
2025-09-02 20:36:00,-3.9512796494036486,-3.500949493076863
2025-09-02 20:37:00,-5.282631181812463,-5.286893791570728
2025-09-02 20:38:00,5.0724578268291,-6.3405859301632175
2025-09-02 20:39:00,3.543019963487985,-0.8772407149978354
2025-09-02 20:40:00,-0.06016113711944121,-0.5495376852555747
2025-09-02 20:41:00,-2.1432336684039726,-2.1206414040320247
2025-09-02 20:42:00,-3.42978957430433,-2.622800188358001
2025-09-02 20:43:00,-4.752397713070258,-2.731613662996289
2025-09-02 20:44:00,-6.378072638143355,-2.6210608926192687
2025-09-02 20:45:00,9.268059011708548,-5.680935293730148
2025-09-02 20:46:00,0.9540663427353826,0.7010787514425861
2025-09-02 20:47:00,-0.9686647898556133,-0.042552567254933955
2025-09-02 20:48:00,-2.9328734455399936,-1.5436641948387726
2025-09-02 20:49:00,-4.057651167211803,-1.4190065928744986
2025-09-02 20:50:00,-5.611101880959797,-1.6536434768521935
2025-09-02 20:51:00,7.4228251507714935,-5.040851643004686
2025-09-02 20:52:00,2.492771449085346,0.03583703312758082
2025-09-02 20:53:00,-0.39958892425443787,-0.18170632964863617
2025-09-02 20:54:00,-2.3054268493798036,-0.9371821502728703
2025-09-02 20:55:00,-3.6040023768624665,-1.4174535701694515
2025-09-02 20:56:00,-4.955742318340402,-1.4334747911688768
2025-09-02 20:57:00,-7.5412258513876385,-1.349987613134557
2025-09-02 20:58:00,9.878935220077592,-5.413057059036317
2025-09-02 20:59:00,1.2355691190177946,1.4414010205649181
2025-09-02 21:00:00,-1.161805505351397,-0.26298529834418555
2025-09-02 21:01:00,-2.9467387280662196,-1.600178076101224
2025-09-02 21:02:00,-3.9043568216825366,-1.007714972756982
2025-09-02 21:03:00,-5.5138794541843925,-1.5785083381555027
2025-09-02 21:04:00,11.669483775131015,-0.9505111686173764
2025-09-02 21:05:00,5.558623793629472,7.316875418586471
2025-09-02 21:06:00,2.610551168371932,6.456888025985194
2025-09-02 21:07:00,1.0350543580541212,5.2692765153411525
2025-09-02 21:08:00,0.9573190905773952,5.106083364962916
2025-09-02 21:09:00,-1.7672313891497473,4.884160221154253
2025-09-02 21:10:00,-3.412263145917157,4.118627433444393
2025-09-02 21:11:00,9.622641301502926,0.49601390906377874
2025-09-02 21:12:00,7.740383478608327,7.645930641628794
2025-09-02 21:13:00,3.332588223306606,7.368440467489233
2025-09-02 21:14:00,0.3657441154632557,5.146575506573398
2025-09-02 21:15:00,1.7858939272689416,4.992871595577291
2025-09-02 21:16:00,-1.5220834953047055,5.3066362505977285
2025-09-02 21:17:00,-2.984040422954742,4.585309035709365
2025-09-02 21:18:00,3.434498300530174,0.39802443904782187
2025-09-02 21:19:00,10.72719304184045,4.546485209450336
2025-09-02 21:20:00,3.5246890479376156,7.742441291716453
2025-09-02 21:21:00,1.5416403993573427,6.7297379290174275
2025-09-02 21:22:00,-0.08364648925296977,5.826649799129972
2025-09-02 21:23:00,-1.3569453967704999,5.037738215177795
2025-09-02 21:24:00,-2.934683880103011,4.277753017853535
2025-09-02 21:25:00,-5.774274631501966,3.3359054529810175
2025-09-02 21:26:00,14.426804650456571,0.6972907503963504
2025-09-02 21:27:00,3.778655169984651,7.130140173812115
2025-09-02 21:28:00,2.3331549448755347,7.089884781054958
2025-09-02 21:29:00,0.16733244581922116,5.770507206446438
2025-09-02 21:30:00,-0.8605376799346689,5.566204183639189
2025-09-02 21:31:00,-2.3113120294386937,4.555439940981214
2025-09-02 21:32:00,-4.355569495539022,3.6660646236133156
2025-09-02 21:33:00,15.69321966791004,-1.8925733254999824
2025-09-02 21:34:00,5.154652520265441,8.012508175079606
2025-09-02 21:35:00,2.573226043294466,7.307712411971148
2025-09-02 21:36:00,0.5983387615505794,6.045392333921082
2025-09-02 21:37:00,-0.6573474995911591,5.985293459201049
2025-09-02 21:38:00,-2.391485286465919,4.867472614960913
2025-09-02 21:39:00,-4.179954780223406,3.998885744059628
2025-09-02 21:40:00,-12.599393137842402,4.818170578548021
