datetime,packet_count_sum,packet_count_mean,packet_count_max,total_bytes_sum,total_bytes_mean,mean_packet_size_mean,packet_rate_mean,byte_rate_mean,flow_id_nunique,src_ip_nunique,dst_ip_nunique,direction_<lambda>,timestamp_numeric,time_since_start,hour_sin,hour_cos,packets_per_flow,packet_count_sum_ma2,packet_count_sum_diff,packet_count_sum_lag1,total_bytes_sum_ma2,total_bytes_sum_diff,total_bytes_sum_lag1,time_window
2025-09-02 16:38:40,2359227,89.40868609542578,20997,96723840,3665.586842005533,42.24583948624227,339.6426542951996,13399.852347254258,26387,14729,14616,A,1756831120,0,0.0,1.0,89.40529786266485,2359227.0,0.0,0.0,96723840.0,0.0,0.0,10s
2025-09-02 16:38:50,403389,21.77891156462585,24720,18050016,974.51765468092,41.40914174233964,481.0762827362419,18289.22394926778,18522,10075,11732,A,1756831130,10,0.01745240643728351,0.9998476951563915,21.777735787939317,1381308.0,-1955838.0,2359227.0,57386928.0,-78673824.0,96723840.0,10s
2025-09-02 16:39:00,169963,11.490974241092557,8184,7649416,517.166925833277,41.051977941545445,534.4839903343657,20120.998790007558,14791,8072,9279,A,1756831140,20,0.03489949670250097,0.9993908270190959,11.490197404002163,286676.0,-233426.0,403389.0,12849716.0,-10400600.0,18050016.0,10s
2025-09-02 16:39:10,165360,11.499304589707927,10137,7773116,540.5504867872045,40.91665252835436,565.444165001973,21373.930304004105,14380,7510,9636,A,1756831150,30,0.05233595624294383,0.9986295347545739,11.498504971837841,167661.5,-4603.0,169963.0,7711266.0,123700.0,7649416.0,10s
2025-09-02 16:39:20,121342,8.755465762320513,11585,5658828,408.31430839165887,40.5104140515813,592.5247825206912,22313.42756981181,13859,7127,9342,A,1756831160,40,0.0697564737441253,0.9975640502598242,8.754834054834054,143351.0,-44018.0,165360.0,6715972.0,-2114288.0,7773116.0,10s
2025-09-02 16:39:30,97729,7.528618750481473,5806,4566908,351.8148062552962,40.32558086954535,577.8869809941609,21518.64123936605,12981,6909,8245,A,1756831170,50,0.08715574274765817,0.9961946980917454,7.528038822985672,109535.5,-23613.0,121342.0,5112868.0,-1091920.0,5658828.0,10s
2025-09-02 16:39:40,84847,6.7942825112107625,3508,3937940,315.33792440743116,40.330037109163264,604.3037214302544,22618.31753550199,12488,6503,8330,A,1756831180,60,0.10452846326765347,0.9945218953682733,6.793738489871086,91288.0,-12882.0,97729.0,4252424.0,-628968.0,4566908.0,10s
2025-09-02 16:39:50,95307,7.270903265181569,7266,4451792,339.62404638388773,40.16861063315496,606.6761220516541,22722.341153310474,13108,6900,8636,A,1756831190,70,0.12186934340514748,0.9925461516413219,7.270348615455031,90077.0,10460.0,84847.0,4194866.0,513852.0,3937940.0,10s
2025-09-02 16:40:00,79383,6.159928610227361,11642,3699808,287.0961434003259,40.152326581236764,630.448087406438,23517.298196386928,12887,6534,8661,A,1756831200,80,0.13917310096006547,0.9902680687415701,6.159450651769087,87345.0,-15924.0,95307.0,4075800.0,-751984.0,4451792.0,10s
2025-09-02 16:40:10,72717,5.855773876630697,4546,3326012,267.8379771299726,40.33627887111034,647.900000188084,24220.455873701292,12418,6407,8376,A,1756831210,90,0.15643446504023087,0.9876883405951377,5.855302359288188,76050.0,-6666.0,79383.0,3512910.0,-373796.0,3699808.0,10s
2025-09-02 16:40:20,71860,5.509468680518285,4029,3281992,251.62861304914514,40.306144372913884,653.2101564119102,24395.937677529397,13043,6672,8756,A,1756831220,100,0.17364817766693036,0.984807753012208,5.509046304814474,72288.5,-857.0,72717.0,3304002.0,-44020.0,3326012.0,10s
2025-09-02 16:40:30,73042,6.010203241997861,5157,3387464,278.73479799226527,40.4209137032552,651.8104588214389,24351.295532614502,12153,6234,8214,A,1756831230,110,0.19080899537654486,0.981627183447664,6.009708737864078,72451.0,1182.0,71860.0,3334728.0,105472.0,3281992.0,10s
2025-09-02 16:40:40,69003,5.576901317384628,3475,3218796,260.1467711953447,40.3927929631597,657.6473523506531,24641.081149840546,12373,6234,8498,A,1756831240,120,0.20791169081775934,0.9781476007338057,5.576450622272507,71022.5,-4039.0,73042.0,3303130.0,-168668.0,3387464.0,10s
2025-09-02 16:40:50,69132,5.479708306911858,6270,3117700,247.12270133164236,40.270854517990536,658.5045649069224,24707.640350962298,12616,6488,8378,A,1756831250,130,0.224951054343865,0.9743700647852354,5.479273995403028,69067.5,129.0,69003.0,3168248.0,-101096.0,3218796.0,10s
