datetime,packet_count_sum,total_bytes_sum
2025-09-02 17:01:40,51577,2424268
2025-09-02 17:01:50,39313,1793800
2025-09-02 17:02:00,45376,2075608
2025-09-02 17:02:10,34141,1568524
2025-09-02 17:02:20,35974,1661796
2025-09-02 17:02:30,32726,1487576
2025-09-02 17:02:40,29219,1310840
2025-09-02 17:02:50,26861,1215688
2025-09-02 17:03:00,24617,1133828
2025-09-02 17:03:10,400973,17059432
2025-09-02 17:03:20,1940381,79522596
2025-09-02 17:03:30,378634,16851588
2025-09-02 17:03:40,190855,8697296
2025-09-02 17:03:50,142136,6307772
2025-09-02 17:04:00,105309,4827248
2025-09-02 17:04:10,110111,5229652
2025-09-02 17:04:20,89201,4120368
2025-09-02 17:04:30,78950,3610136
2025-09-02 17:04:40,75688,3475896
2025-09-02 17:04:50,95988,4600260
2025-09-02 17:05:00,77145,3585972
2025-09-02 17:05:10,61991,2885748
2025-09-02 17:05:20,79339,3814536
2025-09-02 17:05:30,230270,9890492
2025-09-02 17:05:40,52851,2461508
2025-09-02 17:05:50,73657,3519048
2025-09-02 17:06:00,64593,3037720
2025-09-02 17:06:10,57011,2694992
2025-09-02 17:06:20,53369,2432396
2025-09-02 17:06:30,47342,2209604
2025-09-02 17:06:40,50192,2269424
2025-09-02 17:06:50,44961,2068820
2025-09-02 17:07:00,44774,2057180
2025-09-02 17:07:10,55435,2579780
2025-09-02 17:07:20,43189,1987652
2025-09-02 17:07:30,46121,2115976
2025-09-02 17:07:40,44078,2007132
2025-09-02 17:07:50,44337,2073272
2025-09-02 17:08:00,34715,1567220
2025-09-02 17:08:10,38718,1778704
2025-09-02 17:08:20,28350,1273996
2025-09-02 17:08:30,37138,1723536
2025-09-02 17:08:40,30787,1409984
2025-09-02 17:08:50,24964,1129756
2025-09-02 17:09:00,18257,804304
2025-09-02 17:09:10,13171,563348
2025-09-02 17:09:20,1996744,77017900
2025-09-02 17:09:30,592882,25104264
2025-09-02 17:09:40,222444,10019788
2025-09-02 17:09:50,131552,5980796
2025-09-02 17:10:00,142973,6563596
2025-09-02 17:10:10,120265,5514904
2025-09-02 17:10:20,117040,5328944
2025-09-02 17:10:30,81583,3764096
2025-09-02 17:10:40,98227,4680532
2025-09-02 17:10:50,77128,3631256
2025-09-02 17:11:00,238070,11999212
2025-09-02 17:11:10,72810,3458684
2025-09-02 17:11:20,56860,2620248
2025-09-02 17:11:30,61288,2844524
2025-09-02 17:11:40,60567,2850176
2025-09-02 17:11:50,65726,3070856
2025-09-02 17:12:00,50634,2377740
2025-09-02 17:12:10,47554,2153152
2025-09-02 17:12:20,59837,2740864
2025-09-02 17:12:30,50918,2314840
2025-09-02 17:12:40,63567,3034184
2025-09-02 17:12:50,52779,2436732
2025-09-02 17:13:00,47693,2110068
2025-09-02 17:13:10,52788,2415232
2025-09-02 17:13:20,60611,2729528
2025-09-02 17:13:30,36450,1640900
2025-09-02 17:13:40,37015,1671920
2025-09-02 17:13:50,33863,1541124
2025-09-02 17:14:00,40466,1852388
2025-09-02 17:14:10,42955,2037952
2025-09-02 17:14:20,47329,2206288
2025-09-02 17:14:30,43955,2088592
2025-09-02 17:14:40,28920,1330548
2025-09-02 17:14:50,25896,1178440
2025-09-02 17:15:00,25114,1168540
2025-09-02 17:15:10,14220,617288
2025-09-02 17:15:20,1720745,64872956
2025-09-02 17:15:30,919436,39582904
2025-09-02 17:15:40,249550,11232392
2025-09-02 17:15:50,208532,9480564
2025-09-02 17:16:00,129554,5924252
2025-09-02 17:16:10,121321,5576684
2025-09-02 17:16:20,98198,4549596
2025-09-02 17:16:30,88604,4139692
2025-09-02 17:16:40,68713,3166664
2025-09-02 17:16:50,73258,3421740
2025-09-02 17:17:00,102384,4834300
2025-09-02 17:17:10,81896,3821016
2025-09-02 17:17:20,57827,2647260
2025-09-02 17:17:30,53093,2447300
2025-09-02 17:17:40,73991,3537720
2025-09-02 17:17:50,67428,3193672
2025-09-02 17:18:00,53560,2474484
2025-09-02 17:18:10,60375,2718072
2025-09-02 17:18:20,51267,2412188
2025-09-02 17:18:30,54141,2512464
2025-09-02 17:18:40,43568,2025832
2025-09-02 17:18:50,55029,2542156
2025-09-02 17:19:00,60980,2773008
2025-09-02 17:19:10,58469,2662080
2025-09-02 17:19:20,58418,2612980
2025-09-02 17:19:30,46130,2164948
2025-09-02 17:19:40,33697,1527052
2025-09-02 17:19:50,33156,1484148
2025-09-02 17:20:00,38530,1793920
2025-09-02 17:20:10,31606,1460736
2025-09-02 17:20:20,23216,1036732
2025-09-02 17:20:30,65189,3072796
2025-09-02 17:20:40,43596,2023384
2025-09-02 17:20:50,30074,1381588
2025-09-02 17:21:00,22653,1011620
2025-09-02 17:21:10,17135,759772
2025-09-02 17:21:20,5958,249948
2025-09-02 17:21:30,2406656,93991408
2025-09-02 17:21:40,339916,14508264
2025-09-02 17:21:50,239825,11156964
