reduced_feature_0,reduced_feature_1,reduced_feature_2,reduced_feature_3,reduced_feature_4,reduced_feature_5,reduced_feature_6,reduced_feature_7,reduced_feature_8,reduced_feature_9,reduced_feature_10,reduced_feature_11,reduced_feature_12,reduced_feature_13,reduced_feature_14,reduced_feature_15,reduced_feature_16,reduced_feature_17,reduced_feature_18,reduced_feature_19,reduced_feature_20,reduced_feature_21,reduced_feature_22,reduced_feature_23,reduced_feature_24,reduced_feature_25,reduced_feature_26,reduced_feature_27,reduced_feature_28,reduced_feature_29,reduced_feature_30,reduced_feature_31,datetime,direction_aggregate_direction,timestamp_numeric,time_window
13.886655024801186,0.3443789195087225,-2.2932554335306516,-7.851517055180084,4.776919908909223,3.4880506844009385,-3.5751129496750185,0.776059620930647,7.476495734976496,-0.7940122872594017,3.979117543193822,-2.39093883006469,-1.2871011157395447,3.306860909009488,5.753028223370166,0.30817837951086186,1.341315413711877,0.6935510897148224,0.20616379787060204,-0.3181922817355284,0.8516536618673543,0.33507365847760684,-0.4893349616652476,0.2942598178553903,-0.5013805159386603,0.5875330138092834,-0.607423755756302,0.5837114886292892,0.7020514252246087,-0.40064884845997806,0.1806832322164031,-0.07371198816400253,2025-09-02 19:28:00,A,1756841280,30s
7.07508310521577,-4.826477519855647,-6.778622707848144,-0.6964337751250324,3.117985970300393,0.7860954781178338,-0.7535641582237195,-0.733208096436941,3.9650004348543773,-0.7095815758003781,2.357733103696255,-0.7595269921503387,-1.2146932648562652,0.09712021179332285,1.2588680122643876,-0.3612742659546686,-0.5069968128549189,-0.8351748800908645,2.694006477740497,-0.5158577224003681,1.7061452785746047,-1.5464168790565793,0.6875718644225985,-0.5219840889742845,1.7934410003445111,-0.9243463822730859,1.171943404948876,-0.48864014517421595,-0.36512152485487287,0.6530722644185871,0.06298448209828555,0.03535829891556426,2025-09-02 19:28:30,A,1756841310,30s
4.315427752814775,-2.6004487825791793,-5.18294315730872,-2.9154707334747987,-1.2850618608531235,3.7606526292163958,-0.07428611005926082,-1.378542895272635,0.22918507266145774,-0.330508433341511,-0.14265019614960578,0.03517245890255809,-1.5961369913542989,-0.5288038700171056,-0.07101025719412819,-0.3254069712941371,-0.16301008143049855,-0.12935040613791218,0.3434666922897883,-0.5632838713348086,0.2487688590104222,-0.1771378535809379,-0.04287551714061574,-0.2667929230714572,-0.45178212762213127,0.039121948850207276,-0.5742484862581115,-0.5798227350396752,-0.6119365909828014,0.18789587645445502,-0.185364438058259,-0.23917562286763977,2025-09-02 19:29:00,A,1756841340,30s
1.8268492998037142,-0.7112204537861433,-3.2528268766092814,-1.4611733734105758,-1.1736674279123651,0.3851141854739527,0.4056174228112929,-1.4216754918219696,1.7462479141055258,-0.5611260485306329,1.0883702513687916,-0.40707347922622283,-1.1877566366426604,-1.09045719643659,-0.8237087591791656,-0.6122171584195324,-0.36528419432719905,0.02665585405185295,0.0025073253609953702,0.5374976190245838,-0.20775322534265436,0.14508582335762052,-0.023789478665284913,-0.3339080871138231,-0.3343062589978607,0.011792211603976017,-0.10605655272726315,-0.367232924504556,-0.07318594230953337,-0.06837781143360017,-0.20173277287513722,-0.11763883151219427,2025-09-02 19:29:30,A,1756841370,30s
0.5723622970812737,-0.19414223894729832,-2.473066530610027,-1.0240047328029234,-1.2857570013377169,-0.2830516621399531,0.09796254504233076,-1.5128569434492658,1.69443026862659,-0.5253579488093377,0.828906669847876,-0.30473939713054937,-0.8513383433116272,-1.0979904142293426,-0.7291584287043132,-0.3626336675286653,-0.18361149203717916,0.1800179947207219,-0.17556835448488328,-0.5943380836040205,-0.1317476712539719,0.30316458278199854,0.1400554867242566,-0.38210504142506196,-0.40311353400019323,0.16808051324234533,-0.08023613559413317,-0.3470219232687717,-0.06597291590849866,0.030479700497861674,-0.14306544183230918,-0.05387305626969718,2025-09-02 19:30:00,A,1756841400,30s
-1.2572458226402556,0.13268807693521323,-1.4194540675873062,-0.39485493578955905,-1.1107138025098102,-0.8303522473598265,0.014580881405427145,-1.4167828580564192,1.0723481429212995,0.020667790884494004,-0.16641978261598503,0.19391872157497925,-0.6467267419711555,-0.022385397410102818,-0.5328789055295053,-1.1928500161262547,-0.6090372546718744,-0.36416602766486017,-0.5927572977020121,-0.025778110102850794,0.20526328904446178,0.20302771514684775,0.17603058491509796,-0.1274374493024088,0.2133548966832576,0.2235701018732852,0.08878177036342452,-0.21258486718623856,0.4251883402746069,-0.06344143396509622,0.0012894140372182441,-0.11826400091363962,2025-09-02 19:30:30,A,1756841430,30s
-2.2413001630468057,1.3181772157880973,-1.6346394464968224,-0.20776832258696584,-1.0542134506834067,-0.5322969780658295,0.27067758731650204,1.6958798283611067,1.3824385191498643,0.4691793784610169,-0.3009928435260148,0.9829567497935113,-0.8659912946903807,-0.9680177155757062,-0.035536474587827986,-0.3721252051442646,-0.020060230823754455,-0.8732092315017986,-0.5438667529200414,-0.5542370924323469,0.6538952622077717,0.38544235755578704,0.3790787924723429,0.07689422359951592,0.1477881309348903,0.2200133522976491,0.06304552552216582,-0.196074440688082,0.2003087072483745,-0.19243009081472576,-0.11475163055990886,0.015857541544811914,2025-09-02 19:31:00,A,1756841460,30s
-2.456396881243193,1.3233068972437858,-1.1069104774491976,0.33706432964918065,-0.908015616263677,-0.7648214701062092,0.26952999850570203,-1.5136605869938007,0.8185625810390447,0.13436839896041106,-0.3651776606527277,0.47002587414304753,-0.9559923943943929,-0.027801109591922706,0.10903767688134416,-1.0153225186573818,-0.45012953058981053,-0.5714493551576214,-0.42779450999495805,0.26273802985523304,-0.010140964698285607,-0.13999074759641786,-0.13199088206750287,-0.12516485320643,0.13861394696793727,-0.019330330281039327,0.13005193562117354,-0.10582546610328278,0.13189646645648473,-0.21486094411271933,0.08354031985699853,-0.026304160087104705,2025-09-02 19:31:30,A,1756841490,30s
-3.388125340663368,1.570185090965224,-1.1753029007642988,-0.0873015766824522,-0.9179664785461645,-0.7285853873385169,-0.19503696391621436,-1.3353029459618944,0.5587388837933379,0.22084502874499568,-0.3715113902145633,-0.09681575603109309,-1.6400928463162436,-0.050408525298645285,0.10616924903450359,-0.3338962350426674,0.15599895220558596,-0.6364292683570326,-0.3609546883718537,0.7695112059378746,0.38776409172659276,0.01946017764251554,0.08689860786565025,-0.06839835473309987,-0.18820407617010756,0.04313606641944909,0.02108550344222443,0.09103914898433511,-0.03854935096566527,0.02910462970441704,-0.13317843090537382,0.05682184103510282,2025-09-02 19:32:00,A,1756841520,30s
-3.7956213647506276,2.181936907024144,-1.4280280977374167,-0.30743686656031366,-0.8037755099610531,-0.5907723086463433,-0.7629176902002611,0.9766808266752094,0.8509556630244662,0.40680464638894004,-0.7083784816995724,0.8542467946340617,-1.4509418316096905,-1.2267173334526411,0.4738288791854362,0.6386405227516492,-0.04573107994395064,-0.7066362020358965,-0.20293636499406215,-0.6610917048428258,-0.08832317357245162,0.10514882786308416,0.07982235611639878,-0.3976467360152947,-0.1455726165426823,-0.09906553027312733,0.17083873197745383,-0.06981009560569264,0.010729069363833575,-0.06498857514073295,-0.0631674283432203,-0.1265295676106832,2025-09-02 19:32:30,A,1756841550,30s
