datetime,packet_count_sum,total_bytes_sum
2025-09-02 16:38:30,2762616,114773856
2025-09-02 16:39:00,456665,21081360
2025-09-02 16:39:30,277883,12956640
2025-09-02 16:40:00,223960,10307812
2025-09-02 16:40:30,211177,9723960
2025-09-02 16:41:00,165981,7723484
2025-09-02 16:41:30,202640,9257132
2025-09-02 16:42:00,165088,7532516
2025-09-02 16:42:30,150268,7006508
2025-09-02 16:43:00,135061,6196104
2025-09-02 16:43:30,111378,5162824
2025-09-02 16:44:00,98017,4542684
2025-09-02 16:44:30,1489805,59175460
2025-09-02 16:45:00,1521142,66332508
2025-09-02 16:45:30,389107,18227500
2025-09-02 16:46:00,282344,13177568
2025-09-02 16:46:30,233865,10842256
2025-09-02 16:47:00,190646,8703484
2025-09-02 16:47:30,181530,8470488
2025-09-02 16:48:00,185605,8612248
2025-09-02 16:48:30,136333,6225492
2025-09-02 16:49:00,149873,6862256
2025-09-02 16:49:30,109345,5008500
2025-09-02 16:50:00,106293,4885464
2025-09-02 16:50:30,62889,2815760
2025-09-02 16:51:00,2840673,118489072
2025-09-02 16:51:30,432384,20009220
2025-09-02 16:52:00,281109,13025932
2025-09-02 16:52:30,238335,10916092
2025-09-02 16:53:00,182368,8376900
2025-09-02 16:53:30,195654,9026640
2025-09-02 16:54:00,161672,7354332
2025-09-02 16:54:30,171896,7892928
2025-09-02 16:55:00,154725,7244536
2025-09-02 16:55:30,131759,6092844
2025-09-02 16:56:00,117313,5396804
2025-09-02 16:56:30,84300,3850152
2025-09-02 16:57:00,2626344,109627120
2025-09-02 16:57:30,539541,24758772
2025-09-02 16:58:00,358125,16968480
2025-09-02 16:58:30,223289,10435420
2025-09-02 16:59:00,211402,9856068
2025-09-02 16:59:30,175554,8177916
2025-09-02 17:00:00,189432,8814460
2025-09-02 17:00:30,184626,8497236
2025-09-02 17:01:00,139752,6509892
2025-09-02 17:01:30,126341,5829436
2025-09-02 17:02:00,115491,5305928
2025-09-02 17:02:30,88806,4014104
2025-09-02 17:03:00,2365971,97715856
2025-09-02 17:03:30,711625,31856656
2025-09-02 17:04:00,304621,14177268
2025-09-02 17:04:30,250626,11686292
2025-09-02 17:05:00,218475,10286256
2025-09-02 17:05:30,356778,15871048
2025-09-02 17:06:00,174973,8165108
2025-09-02 17:06:30,142495,6547848
2025-09-02 17:07:00,143398,6624612
2025-09-02 17:07:30,134536,6196380
2025-09-02 17:08:00,101783,4619920
2025-09-02 17:08:30,92889,4263276
2025-09-02 17:09:00,2028172,78385552
2025-09-02 17:09:30,946878,41104848
2025-09-02 17:10:00,380278,17407444
2025-09-02 17:10:30,256938,12075884
2025-09-02 17:11:00,367740,18078144
2025-09-02 17:11:30,187581,8765556
2025-09-02 17:12:00,158025,7271756
2025-09-02 17:12:30,167264,7785756
2025-09-02 17:13:00,161092,7254828
2025-09-02 17:13:30,107328,4853944
2025-09-02 17:14:00,130750,6096628
2025-09-02 17:14:30,98771,4597580
2025-09-02 17:15:00,1760079,66658784
2025-09-02 17:15:30,1377518,60295860
2025-09-02 17:16:00,349073,16050532
2025-09-02 17:16:30,230575,10728096
2025-09-02 17:17:00,242107,11302576
2025-09-02 17:17:30,194512,9178692
2025-09-02 17:18:00,165202,7604744
2025-09-02 17:18:30,152738,7080452
2025-09-02 17:19:00,177867,8048068
2025-09-02 17:19:30,112983,5176148
2025-09-02 17:20:00,93352,4291388
2025-09-02 17:20:30,138859,6477768
2025-09-02 17:21:00,45746,2021340
2025-09-02 17:21:30,2986397,119656636
2025-09-02 17:22:00,361450,16535584
2025-09-02 17:22:30,245169,11378400
2025-09-02 17:23:00,239613,11246948
2025-09-02 17:23:30,292065,14070164
2025-09-02 17:24:00,197918,9525532
2025-09-02 17:24:30,136662,6286300
2025-09-02 17:25:00,132585,6202244
2025-09-02 17:25:30,124966,5792240
2025-09-02 17:26:00,121383,5659560
2025-09-02 17:26:30,94400,4299172
2025-09-02 17:27:00,64831,2883820
2025-09-02 17:27:30,2953092,118197672
2025-09-02 17:28:00,384300,17445476
2025-09-02 17:28:30,292888,13442964
2025-09-02 17:29:00,214272,9733472
2025-09-02 17:29:30,189185,8886808
2025-09-02 17:30:00,192704,9128352
2025-09-02 17:30:30,173262,8165300
2025-09-02 17:31:00,164274,7621908
2025-09-02 17:31:30,130020,6023160
2025-09-02 17:32:00,120317,5541788
2025-09-02 17:32:30,107412,4934804
2025-09-02 17:33:00,75062,3380484
2025-09-02 17:33:30,2886133,116457904
2025-09-02 17:34:00,465715,21606952
2025-09-02 17:34:30,273349,12569680
2025-09-02 17:35:00,224918,10298164
2025-09-02 17:35:30,196713,9234992
2025-09-02 17:36:00,192144,8880984
2025-09-02 17:36:30,160142,7439028
2025-09-02 17:37:00,153243,7208132
2025-09-02 17:37:30,132026,6111200
2025-09-02 17:38:00,123646,5760132
2025-09-02 17:38:30,107255,4952416
2025-09-02 17:39:00,77565,3487912
2025-09-02 17:39:30,2754015,109568156
2025-09-02 17:40:00,513326,23245228
2025-09-02 17:40:30,277143,12601368
2025-09-02 17:41:00,268031,12343636
2025-09-02 17:41:30,190869,8946504
2025-09-02 17:42:00,190173,9058020
2025-09-02 17:42:30,162272,7493572
2025-09-02 17:43:00,155585,7240604
2025-09-02 17:43:30,137237,6279812
2025-09-02 17:44:00,126983,5760624
2025-09-02 17:44:30,130087,5907404
2025-09-02 17:45:00,86746,3950044
2025-09-02 17:45:30,2509219,98565192
2025-09-02 17:46:00,700966,31383564
2025-09-02 17:46:30,339549,15697348
2025-09-02 17:47:00,220639,10267868
2025-09-02 17:47:30,202931,9249424
2025-09-02 17:48:00,201284,9484592
2025-09-02 17:48:30,180974,8340104
2025-09-02 17:49:00,132538,6099208
2025-09-02 17:49:30,167011,7608764
2025-09-02 17:50:00,132190,6152100
2025-09-02 17:50:30,116421,5418492
2025-09-02 17:51:00,82611,3691540
2025-09-02 17:51:30,2170901,84784100
2025-09-02 17:52:00,1018732,44589332
2025-09-02 17:52:30,350575,16391948
2025-09-02 17:53:00,255840,11864144
2025-09-02 17:53:30,205104,9568556
2025-09-02 17:54:00,171324,7953260
2025-09-02 17:54:30,181808,8607608
2025-09-02 17:55:00,164217,7681852
2025-09-02 17:55:30,132520,6082368
2025-09-02 17:56:00,128542,6043880
2025-09-02 17:56:30,118067,5511820
2025-09-02 17:57:00,87523,4012148
2025-09-02 17:57:30,48971,2189916
2025-09-02 17:58:00,3012046,122568956
2025-09-02 17:58:30,414525,19300500
2025-09-02 17:59:00,257640,11858988
2025-09-02 17:59:30,208902,9680220
2025-09-02 18:00:00,207064,9851796
2025-09-02 18:00:30,179230,8447332
2025-09-02 18:01:00,142986,6646744
2025-09-02 18:01:30,153668,7181628
2025-09-02 18:02:00,147859,6886364
2025-09-02 18:02:30,118265,5439168
2025-09-02 18:03:00,89785,4104524
2025-09-02 18:03:30,65728,2961748
2025-09-02 18:04:00,2790674,115957132
2025-09-02 18:04:30,428153,19908188
2025-09-02 18:05:00,312740,13983848
2025-09-02 18:05:30,236600,11007824
2025-09-02 18:06:00,200618,9503324
2025-09-02 18:06:30,204860,9659036
2025-09-02 18:07:00,179380,8389908
2025-09-02 18:07:30,160457,7407980
2025-09-02 18:08:00,148887,6816680
2025-09-02 18:08:30,134690,6289584
2025-09-02 18:09:00,108699,5032796
2025-09-02 18:09:30,84217,3876556
2025-09-02 18:10:00,2545492,106778824
2025-09-02 18:10:30,718487,32001076
2025-09-02 18:11:00,277706,12374676
2025-09-02 18:11:30,216637,9726936
2025-09-02 18:12:00,169490,7638144
2025-09-02 18:12:30,139148,6202664
2025-09-02 18:13:00,152426,6965636
2025-09-02 18:13:30,242594,11107588
2025-09-02 18:14:00,139913,6296544
2025-09-02 18:14:30,112074,5017992
2025-09-02 18:15:00,102132,4585588
2025-09-02 18:15:30,88207,3847212
2025-09-02 18:16:00,68346,3008608
2025-09-02 18:16:30,39675,1687428
2025-09-02 18:17:00,2869758,121072548
2025-09-02 18:17:30,491059,21827296
2025-09-02 18:18:00,258656,11675376
2025-09-02 18:18:30,204398,9184500
2025-09-02 18:19:00,173367,7641872
2025-09-02 18:19:30,132231,5883572
2025-09-02 18:20:00,218084,9964684
2025-09-02 18:20:30,170744,7714176
2025-09-02 18:21:00,117105,5231340
2025-09-02 18:21:30,108405,4841084
2025-09-02 18:22:00,96982,4264304
2025-09-02 18:22:30,75428,3307356
2025-09-02 18:23:00,59617,2573196
2025-09-02 18:23:30,1610409,65401228
2025-09-02 18:24:00,1549557,68641164
2025-09-02 18:24:30,372312,16565264
2025-09-02 18:25:00,241591,10862156
2025-09-02 18:25:30,191748,8592908
2025-09-02 18:26:00,167205,7458656
2025-09-02 18:26:30,157614,7065140
2025-09-02 18:27:00,138780,6188148
2025-09-02 18:27:30,133451,6021196
2025-09-02 18:28:00,117675,5226148
2025-09-02 18:28:30,108271,4817204
2025-09-02 18:29:00,93377,4110804
2025-09-02 18:29:30,73610,3165536
2025-09-02 18:30:00,52638,2222932
2025-09-02 18:30:30,2374807,99430812
2025-09-02 18:31:00,907663,40580452
2025-09-02 18:31:30,318476,14283180
2025-09-02 18:32:00,234215,10630852
2025-09-02 18:32:30,188578,8532436
2025-09-02 18:33:00,161401,7324268
2025-09-02 18:33:30,157079,7186144
2025-09-02 18:34:00,127497,5751952
2025-09-02 18:34:30,118855,5346892
2025-09-02 18:35:00,110654,5003100
2025-09-02 18:35:30,101767,4551928
2025-09-02 18:36:00,93929,4152488
2025-09-02 18:36:30,70513,3122116
2025-09-02 18:37:00,47608,2031820
2025-09-02 18:37:30,2841373,115844184
2025-09-02 18:38:00,625536,28174012
2025-09-02 18:38:30,275758,12412808
2025-09-02 18:39:00,206239,9346500
2025-09-02 18:39:30,172626,7810116
2025-09-02 18:40:00,147582,6695288
2025-09-02 18:40:30,138564,6316572
2025-09-02 18:41:00,121504,5508364
2025-09-02 18:41:30,116728,5303860
2025-09-02 18:42:00,102553,4606540
2025-09-02 18:42:30,95166,4285844
2025-09-02 18:43:00,79383,3549832
2025-09-02 18:43:30,54933,2383476
2025-09-02 18:44:00,24941,1075368
