datetime,packet_count_sum,packet_count_mean,packet_count_max,total_bytes_sum,total_bytes_mean,mean_packet_size_mean,packet_rate_mean,byte_rate_mean,flow_id_nunique,src_ip_nunique,dst_ip_nunique,direction_<lambda>,timestamp_numeric,time_since_start,hour_sin,hour_cos,packets_per_flow,packet_count_sum_ma2,packet_count_sum_diff,packet_count_sum_lag1,total_bytes_sum_ma2,total_bytes_sum_diff,total_bytes_sum_lag1,time_window
2025-09-02 16:38:00,2762616,61.515865416731614,24720,114773856,2555.698323275958,41.90075686109888,397.9746961127637,15416.395597215167,44909,22104,23994,A,1756831080,0,0.0,1.0,61.51449565798263,2762616.0,0.0,0.0,114773856.0,0.0,0.0,1min
2025-09-02 16:39:00,734548,9.001041577315672,11585,34038000,417.0965725979389,40.56824922247104,578.9803219831331,21736.42068344328,81607,30757,43688,A,1756831140,60,0.10452846326765347,0.9945218953682733,9.000931281246936,1748582.0,-2028068.0,2762616.0,74405928.0,-80735856.0,114773856.0,1min
2025-09-02 16:40:00,435137,5.764167439395947,11642,20031772,265.3566300172208,40.31162375013334,649.8376415734568,24302.162410478984,75490,27551,42310,A,1756831200,120,0.20791169081775934,0.9781476007338057,5.764091083705343,584842.5,-299411.0,734548.0,27034886.0,-14006228.0,34038000.0,1min
2025-09-02 16:41:00,368621,5.189140870250714,8987,16980616,239.03903599532637,40.01397713185938,698.4112523260093,25907.91085624259,71037,25332,40077,A,1756831260,180,0.30901699437494745,0.9510565162951536,5.189067822855373,401879.0,-66516.0,435137.0,18506194.0,-3051156.0,20031772.0,1min
2025-09-02 16:42:00,315356,4.7161679154141805,6834,14539024,217.4319769093873,39.85927861048885,715.2000804639185,26444.906248502226,66867,24001,38557,A,1756831320,240,0.4067366430758002,0.9135454576426008,4.7160973858945985,341988.5,-53265.0,368621.0,15759820.0,-2441592.0,16980616.0,1min
2025-09-02 16:43:00,246439,3.988073275722562,4248,11358928,183.81927047933456,40.02484953463775,719.1899324653336,26672.306590052172,61794,22061,35982,A,1756831380,300,0.4999999999999999,0.8660254037844386,3.988008738571082,280897.5,-68917.0,315356.0,12948976.0,-3180096.0,14539024.0,1min
2025-09-02 16:44:00,1587822,26.383231145007727,25279,63718144,1058.7399099413456,40.551722762662344,743.7297434081723,28757.061417468653,60153,22930,35078,A,1756831440,360,0.587785252292473,0.8090169943749476,26.395950393988763,917130.5,1341383.0,246439.0,37538536.0,52359216.0,11358928.0,1min
2025-09-02 16:45:00,1910249,18.853436109000107,12212,84560008,834.5753397617473,40.83284144786052,530.7107869971138,19754.67147157934,101321,37995,49846,A,1756831500,420,0.6691306063588582,0.7431448254773944,18.853250034543336,1749035.5,322427.0,1587822.0,74139076.0,20841864.0,63718144.0,1min
2025-09-02 16:46:00,516209,6.2390045806693335,8850,24019824,290.3083672754082,39.40021295426544,652.3838056924629,23750.156564883124,82739,29003,42925,A,1756831560,480,0.7431448254773942,0.6691306063588582,6.238929175731206,1213229.0,-1394040.0,1910249.0,54289916.0,-60540184.0,84560008.0,1min
2025-09-02 16:47:00,372176,4.701982236933534,7067,17173972,216.97183934910868,39.48016015966585,700.3788295663746,25562.142778784822,79153,27843,42112,A,1756831620,540,0.8090169943749475,0.5877852522924731,4.701922833969225,444192.5,-144033.0,516209.0,20596898.0,-6845852.0,24019824.0,1min
2025-09-02 16:48:00,321938,4.649327017503322,9802,14837740,214.28195944774998,39.65503020299694,712.4904812299258,26122.52151259021,69244,24810,37924,A,1756831680,600,0.8660254037844385,0.5000000000000001,4.649259874359159,347057.0,-50238.0,372176.0,16005856.0,-2336232.0,17173972.0,1min
2025-09-02 16:49:00,259218,3.8275083056478407,4447,11870756,175.2787892211148,39.721323708148994,724.1697190612235,26681.428441150085,67725,23436,38375,A,1756831740,660,0.9135454576426008,0.4067366430758004,3.8274517910403687,290578.0,-62720.0,321938.0,13354248.0,-2966984.0,14837740.0,1min
2025-09-02 16:50:00,169182,2.562820007877117,5421,7701224,116.66046596176568,40.23532879628246,784.0093351581161,29913.42999547906,66014,22686,38092,A,1756831800,720,0.9510565162951536,0.3090169943749475,2.5627811860940697,214200.0,-90036.0,259218.0,9785990.0,-4169532.0,11870756.0,1min
2025-09-02 16:51:00,3273057,32.61868790050128,40513,138498292,1380.2486670719431,41.15525386055427,498.65782596282014,18830.732811371032,100340,39094,49712,A,1756831860,780,0.9781476007338058,0.20791169081775948,32.619338057224866,1721119.5,3103875.0,169182.0,73099758.0,130797068.0,7701224.0,1min
2025-09-02 16:52:00,519444,6.3198082561775335,7869,23942024,291.2903045271495,39.94403507643674,632.6941545797357,23414.64809973198,82193,29893,43968,A,1756831920,840,0.9945218953682733,0.10452846326765346,6.319731367253084,1896250.5,-2753613.0,3273057.0,81220158.0,-114556268.0,138498292.0,1min
2025-09-02 16:53:00,378022,4.778857944705005,7354,17403540,220.01112473610357,39.797249885698825,688.9430764731583,25408.669778561914,79103,27995,43458,A,1756831980,900,1.0,6.123233995736766e-17,4.77879753236246,448733.0,-141422.0,519444.0,20672782.0,-6538484.0,23942024.0,1min
2025-09-02 16:54:00,333568,4.527375878824072,6762,15247260,206.9445424685795,39.851665173150614,710.8790005566661,26264.148062981803,73678,26059,40920,A,1756832040,960,0.9945218953682733,-0.10452846326765335,4.527314431520515,355795.0,-44454.0,378022.0,16325400.0,-2156280.0,17403540.0,1min
2025-09-02 16:55:00,286484,4.032543670734626,4999,13337380,187.73672282983546,39.89121805005482,727.249181080887,26962.111034809714,71043,24155,40347,A,1756832100,1020,0.9781476007338058,-0.20791169081775937,4.03248690952086,310026.0,-47084.0,333568.0,14292320.0,-1909880.0,15247260.0,1min
2025-09-02 16:56:00,201613,2.9729853277298535,7293,9246956,136.35561453955614,40.0050518156014,764.6426320163615,28734.48510340972,67815,23101,39053,A,1756832160,1080,0.9510565162951538,-0.3090169943749474,2.972941488734222,244048.5,-84871.0,286484.0,11292168.0,-4090424.0,13337380.0,1min
2025-09-02 16:57:00,3165885,32.472613699304574,21761,134385892,1378.401665743533,41.30965871165136,520.1735567789876,19948.680281820933,97441,38429,48655,A,1756832220,1140,0.9135454576426009,-0.4067366430758003,32.489942735165535,1683749.0,2964272.0,201613.0,71816424.0,125138936.0,9246956.0,1min
